plot_name,accession_name,DM_raw,DM_gravity,DM_nirs
202109DVGN6_momi_rep2_ARG65_233,ARG65,37.76,35.5,37.9
202109DVGN6_momi_rep2_ARG67_216,ARG67,36.13,33.3,35.1
202109DVGN6_momi_rep2_BOL1_193,BOL1,25.28,27.9,26.4
202109DVGN6_momi_rep2_BRA1001_174,BRA1001,32.76,30.6,32
202109DVGN6_momi_rep2_BRA1081_268,BRA1081,24.41,31,27.5
202109DVGN6_momi_rep2_BRA108_251,BRA108,36.2,37.7,35.8
202109DVGN6_momi_rep2_BRA1132_222,BRA1132,38.21,35.9,39.1
202109DVGN6_momi_rep2_BRA1139_218,BRA1139,33.66,33.8,33.9
202109DVGN6_momi_rep2_BRA1177_194,BRA1177,37.42,31.2,38.2
202109DVGN6_momi_rep2_BRA1243_253,BRA1243,42.25,38.9,40.4
202109DVGN6_momi_rep2_BRA130_228,BRA130,39.92,35.3,38.1
202109DVGN6_momi_rep2_BRA1310_247,BRA1310,40.95,37,39.6
202109DVGN6_momi_rep2_BRA136_245,BRA136,22.74,26.2,24.3
202109DVGN6_momi_rep2_BRA1410_202,BRA1410,36.72,36.4,36.3
202109DVGN6_momi_rep2_BRA144_207,BRA144,38.78,35.5,38
202109DVGN6_momi_rep2_BRA147_172,BRA147,34.31,30.1,35.1
202109DVGN6_momi_rep2_BRA162_167,BRA162,38.99,33.7,38
202109DVGN6_momi_rep2_BRA163_210,BRA163,40.07,36.3,39.6
202109DVGN6_momi_rep2_BRA190_145,BRA190,34.17,31.7,35.3
202109DVGN6_momi_rep2_BRA1A_250,BRA1A,40.2,34.1,39.6
202109DVGN6_momi_rep2_BRA222_191,BRA222,38.42,36.3,38.6
202109DVGN6_momi_rep2_BRA223_147,BRA223,39.09,38.1,38.7
202109DVGN6_momi_rep2_BRA254_175,BRA254,29.04,29.9,29.5
202109DVGN6_momi_rep2_BRA327_257,BRA327,28.3,30.5,29.2
202109DVGN6_momi_rep2_BRA334_241,BRA334,40.07,36.8,40.5
202109DVGN6_momi_rep2_BRA335_150,BRA335,42.6,38.8,44
202109DVGN6_momi_rep2_BRA512_199,BRA512,37.42,36.4,37.6
202109DVGN6_momi_rep2_BRA563_220,BRA563,36.85,35.3,37.6
202109DVGN6_momi_rep2_BRA707_169,BRA707,27.49,28.1,26.9
202109DVGN6_momi_rep2_BRA787_234,BRA787,33.19,29.5,32.9
202109DVGN6_momi_rep2_BRA872_187,BRA872,21.32,26.3,25.3
202109DVGN6_momi_rep2_BRA890_140,BRA890,30.72,32.2,31.3
202109DVGN6_momi_rep2_BRA894_227,BRA894,31.85,32.9,32.5
202109DVGN6_momi_rep2_BRA899_189,BRA899,33.42,32.3,35.1
202109DVGN6_momi_rep2_BRA93_197,BRA93,36.6,33.2,36.1
202109DVGN6_momi_rep2_BRA974_272,BRA974,29.47,27.2,31
202109DVGN6_momi_rep2_CG1141-1_236,CG1141-1_is_Costena,40.94,37.6,39.5
202109DVGN6_momi_rep2_CM4919-1_151,CM4919-1_is_Veronica,38.15,37.5,38
202109DVGN6_momi_rep2_COL1030_224,COL1030,NA,NA,NA
202109DVGN6_momi_rep2_COL1185_168,COL1185,32.8,29.4,32
202109DVGN6_momi_rep2_COL1292_244,COL1292,39.09,33,36.1
202109DVGN6_momi_rep2_COL1326_206,COL1326,18.41,23.8,21.8
202109DVGN6_momi_rep2_COL1357_270,COL1357,40.62,36.3,39
202109DVGN6_momi_rep2_COL1389_209,COL1389,35.05,33,36.2
202109DVGN6_momi_rep2_COL1398_180,COL1398,36.51,30.6,35.9
202109DVGN6_momi_rep2_COL1489_176,COL1489,31.03,30,32
202109DVGN6_momi_rep2_COL1490_156,COL1490,28.08,30.2,28.8
202109DVGN6_momi_rep2_COL1516_240,COL1516,39.31,37,39.3
202109DVGN6_momi_rep2_COL1535_159,COL1535,34.18,33.1,34.1
202109DVGN6_momi_rep2_COL1722_171,COL1722,40.53,34.1,40.8
202109DVGN6_momi_rep2_COL1734_173,COL1734,43.38,38.3,42.9
202109DVGN6_momi_rep2_COL1752_154,COL1752,43.16,17.7,40
202109DVGN6_momi_rep2_COL1786_162,COL1786,35.19,31.7,36.3
202109DVGN6_momi_rep2_COL191_144,COL191,24.87,27,29
202109DVGN6_momi_rep2_COL2007_217,COL2007,28.25,30.7,29.6
202109DVGN6_momi_rep2_COL2011_143,COL2011,36.14,31.7,36.5
202109DVGN6_momi_rep2_COL2019_200,COL2019,30.31,28.8,30.6
202109DVGN6_momi_rep2_COL2054_229,COL2054,41.22,37,38.1
202109DVGN6_momi_rep2_COL2059_181,COL2059,28.75,24,30.3
202109DVGN6_momi_rep2_COL2144_260,COL2144,36.8,36.1,36.5
202109DVGN6_momi_rep2_COL2182_230,COL2182,41.15,35.3,40.1
202109DVGN6_momi_rep2_COL2215_138,COL2215_is_Venezolana,44.88,40.3,44.1
202109DVGN6_momi_rep2_COL226B_259,COL226B,30.51,30.8,31.1
202109DVGN6_momi_rep2_COL2331_264,COL2331,25.98,29.9,26.2
202109DVGN6_momi_rep2_COL2353_148,COL2353,36.11,36.3,36.1
202109DVGN6_momi_rep2_COL2361_170,COL2361,30.64,31.5,29.5
202109DVGN6_momi_rep2_COL2387_235,COL2387,31.09,30.9,30.7
202109DVGN6_momi_rep2_COL2426_184,COL2426,37.05,33.4,36.9
202109DVGN6_momi_rep2_COL2493_146,COL2493,28.52,29,29.1
202109DVGN6_momi_rep2_COL2510_242,COL2510,32.66,33.1,33.6
202109DVGN6_momi_rep2_COL2526_182,COL2526,31.97,30.7,31.8
202109DVGN6_momi_rep2_COL2627_256,COL2627,27.22,27.1,29
202109DVGN6_momi_rep2_COL282_139,COL282,32.38,24.7,33.2
202109DVGN6_momi_rep2_COL304_254,COL304,28.72,28.2,30.2
202109DVGN6_momi_rep2_COL32_195,COL32,40.44,35.3,41
202109DVGN6_momi_rep2_COL40_208,COL40,33.22,33.3,31.5
202109DVGN6_momi_rep2_COL508_157,COL508,42.73,36.2,40
202109DVGN6_momi_rep2_COL621_232,COL621,38.73,36.1,38.5
202109DVGN6_momi_rep2_COL941_271,COL941,20.72,23.9,23.4
202109DVGN6_momi_rep2_COL948C_155,COL948C,41.84,37.4,40.2
202109DVGN6_momi_rep2_COL986_166,COL986,NA,NA,NA
202109DVGN6_momi_rep2_CR22_185,CR22,32.18,32.3,31.1
202109DVGN6_momi_rep2_CR28_178,CR28,32.74,21.3,31.8
202109DVGN6_momi_rep2_CR77_213,CR77,37.97,36.2,35.1
202109DVGN6_momi_rep2_CUB29_137,CUB29,36.86,32.8,36
202109DVGN6_momi_rep2_CUB39_177,CUB39,31.39,25.6,30.8
202109DVGN6_momi_rep2_CUB56_252,CUB56,41.12,37.6,38.2
202109DVGN6_momi_rep2_CUB65_225,CUB65,36.67,34.4,36.7
202109DVGN6_momi_rep2_DOM3_153,DOM3,41.64,40.2,41.4
202109DVGN6_momi_rep2_ECU104_198,ECU104,27.09,24.6,28.5
202109DVGN6_momi_rep2_ECU31_165,ECU31,32.79,29.1,36.3
202109DVGN6_momi_rep2_ECU3_263,ECU3,43.11,38.6,39.7
202109DVGN6_momi_rep2_ECU43_149,ECU43,34.62,29.6,35.1
202109DVGN6_momi_rep2_ECU71_248,ECU71,41.73,36.6,40
202109DVGN6_momi_rep2_ECU72_142,ECU72,36.07,27.5,35.1
202109DVGN6_momi_rep2_GUA1_243,GUA1,38.55,37.3,37.7
202109DVGN6_momi_rep2_GUA32_231,GUA32,31.03,29.8,30.3
202109DVGN6_momi_rep2_MEX1_212,MEX1,37.03,34.2,34.9
202109DVGN6_momi_rep2_MEX23_204,MEX23,36.67,35.5,34.8
202109DVGN6_momi_rep2_MEX59_223,MEX59,31.02,31.2,34.4
202109DVGN6_momi_rep2_MEX65_205,MEX65,32.3,32.5,32
202109DVGN6_momi_rep2_MEX80_258,MEX80,36.83,35.2,34.9
202109DVGN6_momi_rep2_PAN7_214,PAN7,42.6,38,41.2
202109DVGN6_momi_rep2_PAR100_201,PAR100,34.67,30.2,32.6
202109DVGN6_momi_rep2_PAR101_203,PAR101,32.81,30.7,31.3
202109DVGN6_momi_rep2_PAR114_261,PAR114,34.69,35.2,34.2
202109DVGN6_momi_rep2_PAR128_237,PAR128,30.18,28.5,30.1
202109DVGN6_momi_rep2_PAR23_188,PAR23,38.83,35.5,38.2
202109DVGN6_momi_rep2_PAR36_262,PAR36,35.67,31.6,33.6
202109DVGN6_momi_rep2_PAR41_211,PAR41,40.49,34.9,38.8
202109DVGN6_momi_rep2_PAR81_164,PAR81,37.95,33.5,38.1
202109DVGN6_momi_rep2_PER226_266,PER226,38.18,32.3,36.3
202109DVGN6_momi_rep2_PER234_267,PER234,35.26,29.8,35.6
202109DVGN6_momi_rep2_PER297_161,PER297,21.88,22.3,24.6
202109DVGN6_momi_rep2_PER328_249,PER328,36.61,28.9,35.2
202109DVGN6_momi_rep2_PER349_269,PER349,41.91,34.9,41.3
202109DVGN6_momi_rep2_PER415_183,PER415,37.86,32.8,36.7
202109DVGN6_momi_rep2_PER484_160,PER484,19.25,19.3,20.3
202109DVGN6_momi_rep2_PER503_141,PER503,23.4,25.2,26.2
202109DVGN6_momi_rep2_PER534_152,PER534,42.2,35.2,42.3
202109DVGN6_momi_rep2_PER556_255,PER556,30.29,28.6,30.6
202109DVGN6_momi_rep2_PER584_196,PER584,37.45,30.2,37.5
202109DVGN6_momi_rep2_PER589_186,PER589,32.16,30.1,32.5
202109DVGN6_momi_rep2_PER593_239,PER593,40.73,33.1,40.5
202109DVGN6_momi_rep2_PTR1_158,PTR1,26.19,26.7,27.9
202109DVGN6_momi_rep2_PTR5_219,PTR5,22.95,22.9,23.1
202109DVGN6_momi_rep2_SM2775-4_226,SM2775-4_is_Bellotti,43.25,39.5,40.9
202109DVGN6_momi_rep2_SMB2446-2_215,SMB2446-2_is_Caiseli,44.29,40.2,41.5
202109DVGN6_momi_rep2_TAI8_179,TAI8_is_TAI,42.21,37.1,41.6
202109DVGN6_momi_rep2_USA2_163,USA2,31.34,30.8,32.9
