Finca,Descripcion,K_USLE,pH,C_Oxid,MO,P.BrayII,Ca,Mg,K,CIC,Fe,Mn,Cu,Zn,B,S,CE,N_Total,D_APAREN,D_REAL,POROSIDAD,Macroporos,Mesoporos,Microporos,Hum_campo,Hum_grav_Sat,Hum_vol_Sat,C.C,PMP,CHS,Infiltracion,LAA,X_.6.3.mm,X_6.4mm,X_4.2mm,X_2.1mm,X_1.0.5mm,X_0.5.0.25mm,X_0.25.0.125mm,X_.0.125mm,Est_agre_sin_arenas,Arcilla,Limo,Arena,Ind_plast,MO.75um,MO.53um,MO.53um.1
Finca5,YIM011,0.401300095,5.79,1.972,4.581,1.75,1.18,0.03,0.33,11.19,165.5,62.59,1.107,1.015,0.727,35.95,0.05,1431.2,1.583415747,2.55102919,37.9303164,5.238073059,2.840535189,29.85170816,8.43186102,28.54600815,45.20019881,32.69224335,29.85170816,0,0,4.497748147,18.27270859,23.4432799,21.67385943,17.24619811,10.33394986,3.960131525,2.244143033,2.825729552,3,36.44,47.6,15.96,12.34,30.74,21.26,26.23
Finca5,YIM012,0.39312685,5.72,1.75,4.066,1.73,0.91,0.62,0.13,10.98,48.94,65.51,1.032,1.116,0.541,36.57,0.02,1409,1.458063535,2.535070293,42.48429564,11.97104696,2.94624886,27.56699982,13.399935,29.60477045,43.16563626,30.51324868,27.56699982,0.199939078,0.317090881,4.295818028,18.6062358,22.17117489,24.74396036,17.81024159,8.586619864,2.953747677,1.964691307,3.163328515,1.51,35.61,48.32,16.07,12.07,26.87,26.16,31.9
Finca5,YIM013,0.380809491,5.57,1.739,4.04,1.76,0.4,0.2,0.15,8.95,63.52,64.16,0.917,1.074,0.612,35.84,0.04,1382.1,1.541981125,2.55958589,39.75661721,8.842857827,3.474343327,27.43941605,10.9031166,29.04083868,44.78042511,30.91375938,27.43941605,0.199359119,0.317090881,5.357371834,12.12074153,15.27807435,18.55964282,19.91555858,16.70484325,9.013879453,4.562748714,3.844511307,1.09,35.58,46.26,18.16,10.94,28.96,27.47,31.48
Finca5,YIM014,0.460162148,5.11,1.418,3.295,2.17,0.74,0.2,0.21,12.19,46.66,90.03,1.427,0.912,0.873,43.94,0.18,1348,1.391131644,2.548267039,45.40871806,16.47916414,2.966918226,25.9626357,18.90009969,29.31456363,40.78041709,28.92955392,25.9626357,0,0,4.127373829,25.99209298,22.68065753,22.21099254,15.05454654,6.716506644,2.676793199,1.869742279,2.798668292,3.38,34.57,49.09,16.34,10.57,27.15,26.98,29.92
Finca5,YIM015,0.308631264,5.14,1.83,4.252,2.99,0.86,0.51,0.04,14.28,27.2,57.53,1.164,1.052,0.956,38.52,0.13,1433.7,1.369715672,2.571281238,46.73022727,17.41697419,3.884021908,25.42923118,19.62850785,31.69582149,43.41426341,29.31325308,25.42923118,5.318478875,8.561453798,5.320005676,14.32704122,18.77471239,24.37283592,19.66156596,12.57455601,5.184854239,2.60918128,2.495252988,2.9,36.96,48.32,14.71,13.4,28.37,26.8,31.26
Finca5,YIM016,0.173270156,5.36,2.247,5.219,1.67,0.59,0.59,0.21,15.85,13.43,28.18,0.465,1.01,1.076,39.59,0.11,1625.8,1.164096213,2.539131093,54.15375693,27.66999221,2.77255511,23.7112096,16.47238712,43.70930023,50.88183087,26.48376471,23.7112096,34.03857644,53.90544984,3.227520904,18.16148597,22.01004549,22.82505686,16.99488249,10.95432146,5.124147081,2.340788476,1.589272176,3.14,39.21,38.46,22.32,15.57,35.84,29.69,37.86
Finca5,YIM017,0.213223436,4.97,2.623,6.093,5.57,1.73,0.97,0.26,16.59,17.63,33.59,0.894,2.431,1.536,44.57,0.54,1969.5,1.169429019,2.508172819,53.37526147,26.06307882,2.701461801,24.61072084,12.12468193,48.52235551,56.74345059,27.31218264,24.61072084,0.533882376,0.85614538,3.159167823,12.517892,18.76545218,25.23584906,21.39964216,13.44095641,5.132563435,1.989264802,1.518379961,2.45,50.67,36.89,12.44,19.02,34.85,31.92,38.84
Finca5,YIM018,0.143382349,4.91,2.058,4.782,2.57,1.04,1.1,0.07,13.71,5.269,47.57,1.217,0.938,1.285,38.41,0.35,1557.5,1.120988254,2.504815283,55.24666981,30.12633831,3.075958959,22.04437254,15.98409617,43.10647353,48.3218505,25.1203315,22.04437254,30.27621882,48.51490486,3.448113863,13.27009541,17.04134225,23.61443141,21.40695252,15.22864349,5.921701941,2.275468801,1.241364185,2.83,50.68,39.65,9.68,17.96,31.17,28.53,31.31
Finca6,ALF001,0.072647695,5.24,2.964,6.885,6.12,4.19,1.21,0.62,22.49,11.05,94.14,1.039,4.572,1.584,39.3,0.891,1790.3,0.994676541,2.535313417,60.76711723,15.21822462,2.810595325,42.73829729,43.7584758,60.08759254,59.76771869,45.54889262,42.73829729,45.68399013,72.93090273,2.795633236,14.14784221,17.64919083,22.05748483,17.91722859,13.07569117,7.089514498,4.869352664,3.193695212,3.1,60.99,33.64,5.37,27.4,32.41,31.62,32.65
Finca6,ALF002,0.079444311,4.46,2.858,6.639,2.76,1.55,1.16,0.63,18.25,25.19,92.84,1.584,1.486,1.345,52.18,0.964,1727.5,0.954609381,2.594257392,63.20298116,26.63830736,4.872977631,31.69169616,34.64280848,60.28429992,57.54795825,36.56467379,31.69169616,21.83261655,34.87999696,4.651790162,13.09228278,15.51358158,19.92174852,18.13185825,14.66540745,8.981831265,5.707861126,3.985429034,2.9,59.93,35.11,4.96,25.35,26.32,22.46,19.77
Finca6,ALF003,0.071403399,4.26,2.654,6.167,0.45,1.54,0.39,0.67,17.61,14.86,108.8,1.186,2.502,1.172,38.7,1.17,1895.7,0.838758519,2.572980835,67.40129164,36.29548914,3.887699379,27.21810312,27.92826687,68.37973414,57.35408451,31.1058025,27.21810312,128.7208505,203.4138004,3.260840972,9.944088737,14.25827397,19.61673731,19.96843719,18.45702949,10.3156281,5.207863649,2.231941564,1.19,63.7,31.62,4.68,25.47,26.47,24.16,23.5
Finca6,ALF004,0.117807416,4.82,2.416,5.613,1.85,1.17,2.24,0.45,16.87,18.94,80.82,1.18,2.046,0.49,31.02,0.711,1439.6,1.113014298,2.7697496,59.81534585,21.16689316,4.365202694,34.28324999,20.2298247,55.03473625,61.2544483,38.64845269,34.28324999,6.353469057,10.08349003,4.85853301,13.22496632,19.23215088,25.48361024,19.81769196,13.72608891,5.515940727,2.078132016,0.921418949,2.61,61.31,33.33,5.36,23.29,26.88,25.79,24.91
Finca6,ALF005,0.15367129,4.49,2.109,4.9,0.41,3.15,1.26,0.1,17.5,15.86,122.8,0.876,1.587,0.941,52.97,0.672,1259.1,1.02825498,2.538387716,59.4918076,18.19625394,4.088647361,37.20690629,31.06704636,59.37225177,61.04981355,41.29555365,37.20690629,3.354116879,5.327126808,4.20417201,14.47304752,18.53188813,23.33978515,20.37162489,14.38788348,5.817284429,2.149424175,0.929062228,2.79,62.35,32.98,4.66,27.03,28.23,26.99,26.97
Finca6,ALF006,0.184040079,3.94,2.215,5.145,1.19,0.25,0.5,0.19,14.74,41.96,1.323,1.8,2.926,1.574,0,0.713,1313.1,0.929184905,2.682804063,65.36515963,25.71793542,7.580032331,32.06719189,32.55596141,67.40891636,62.63534753,39.64722422,32.06719189,1.488006965,2.346472522,7.043251619,10.53389193,18.48318831,25.72671608,21.09356537,14.46664518,6.001718767,2.524438715,1.169835643,2.12,62.04,32.75,5.21,23.31,22.27,16.86,15.1
Finca6,ALF007,0.181261959,4.56,2.685,6.238,6.78,1.47,0.6,0.59,16.47,43.16,114.8,1.561,3.901,2.079,61.15,0.86,1670.1,0.981361084,2.542371373,61.39977446,23.63112543,4.284898552,33.48375048,32.19785845,60.71626637,59.58458098,37.76864903,33.48375048,1.803522,2.866501568,4.205032687,14.79693742,19.27208167,24.27762983,19.13892588,12.63981358,5.694629383,2.88060364,1.299378606,2.8,58.98,33.84,7.19,26.28,25.68,22.86,21.64
Finca6,ALF008,0.077906904,4.18,2.409,5.597,0.99,1.87,0.01,0.21,13.25,32.94,97.46,2.569,1.286,1.277,47.52,0.749,1438.4,1.033069383,2.676830299,61.40699007,26.30714224,4.013064034,31.0867838,29.47569272,55.20574083,57.03136062,35.09984784,31.0867838,21.36421239,33.83359705,4.145773586,11.37166324,16.76694045,24.92197125,21.9312115,15.34188912,6.036960986,2.422997947,1.206365503,2.82,63.5,32.21,4.29,25.94,27.64,25.39,26.03
Finca6,ALF009,0.085975833,3.88,2.546,5.914,2.65,1.14,0.55,0.16,16.71,17,30.99,1.439,3.511,1.54,95.91,0.586,1524,0.934073387,2.788796596,66.50622035,28.94656434,4.889264717,32.67039128,37.85833626,65.67666198,61.3468221,37.559656,32.67039128,45.72568534,72.83577546,4.566932054,10.01519244,16.47873059,24.52903444,21.46607022,15.52835922,6.91424713,3.351620527,1.716745442,2.77,60.2,34.29,5.51,23.8,29.07,28.02,29.2
Finca6,ALF010,0.112368066,4.07,2.724,6.329,3.14,0.37,0.34,0.33,16.8,37.42,37,1.2,2.936,1.746,80.59,1.068,1737.8,0.993634924,2.510931104,60.42763092,24.54281768,3.915926576,31.96888666,32.15679656,55.99907171,55.64263335,35.88481323,31.96888666,7.92131914,12.68363526,3.891001404,8.186914081,14.98018749,22.15231468,21.12689669,17.40794433,9.306079057,4.899004542,1.940659128,2.96,60.4,33.28,6.32,26.69,30.49,27.28,29.06
Finca6,ALF011,0.099895282,5.16,2.32,5.389,8.89,2.71,2.78,0.5,20.03,10.69,47.63,0.614,2.107,0.543,33.55,0.696,1334,0.986044521,2.509316247,60.70465323,25.08577988,3.839944769,31.77892858,34.30875219,60.32607492,59.48419562,35.61887335,31.77892858,125.140533,326.286517,3.786356499,17.9298048,19.43506006,22.76088589,18.65521772,12.01295045,5.423235736,2.514076577,1.268768769,2.72,58.42,35.88,5.7,23.4,21.04,21.99,21.94
Finca6,ALF012,0.055804059,5.32,2.929,6.806,0.77,3.55,2.1,0.25,19.79,11.22,66.37,0.936,1.343,0.868,32.4,0.478,1938.9,0.964600379,2.5426228,62.06278103,24.26087429,4.344327374,33.45757937,35.65195991,62.48433864,60.27241674,37.80190675,33.45757937,33.66560635,53.90544984,4.190539831,13.02702202,16.11512123,22.68276883,19.50027762,14.15139737,7.42087729,4.453081621,2.649454007,3.04,67.35,27.63,5.02,31.02,30.15,26.53,27.59
